"Points:0","Points:1","Points:2"
4.1704e+06,72794,0
4.1954e+06,73230,0
4.2204e+06,73667,0
4.2454e+06,74103,0
4.2703e+06,74539,0
4.2953e+06,74976,0
4.3203e+06,75412,0
4.3453e+06,75848,0
4.3703e+06,76284,0
4.3953e+06,76721,0
4.4203e+06,77157,0
4.4453e+06,77593,0
4.4703e+06,78030,0
4.4953e+06,78466,0
4.5203e+06,78902,0
4.5453e+06,79339,0
4.5703e+06,79775,0
4.5953e+06,80211,0
4.6203e+06,80648,0
4.6453e+06,81084,0
4.6703e+06,81520,0
4.6953e+06,81956,0
4.7203e+06,82393,0
4.7453e+06,82829,0
4.7703e+06,83265,0
4.7953e+06,83702,0
4.8203e+06,84138,0
4.8453e+06,84574,0
4.8703e+06,85011,0
4.8953e+06,85447,0
4.9203e+06,85883,0
4.9452e+06,86320,0
4.9702e+06,86756,0
4.9952e+06,87192,0
5.0202e+06,87629,0
5.0452e+06,88065,0
5.0702e+06,88501,0
5.0952e+06,88937,0
5.1202e+06,89374,0
5.1452e+06,89810,0
5.1702e+06,90246,0
5.1952e+06,90683,0
5.2202e+06,91119,0
5.2452e+06,91555,0
5.2702e+06,91992,0
5.2952e+06,92428,0
5.3202e+06,92864,0
5.3452e+06,93301,0
5.3702e+06,93737,0
5.3952e+06,94173,0
5.4202e+06,94609,0
5.4452e+06,95046,0
5.4702e+06,95482,0
5.4952e+06,95918,0
5.5202e+06,96355,0
5.5452e+06,96791,0
5.5702e+06,97227,0
5.5951e+06,97664,0
5.6201e+06,98100,0
5.6451e+06,98536,0
5.6701e+06,98973,0
5.6951e+06,99409,0
5.7201e+06,99845,0
5.7451e+06,1.0028e+05,0
5.7701e+06,1.0072e+05,0
5.7951e+06,1.0115e+05,0
5.8201e+06,1.0159e+05,0
5.8451e+06,1.0203e+05,0
5.8701e+06,1.0246e+05,0
5.8951e+06,1.029e+05,0
5.9201e+06,1.0334e+05,0
5.9451e+06,1.0377e+05,0
5.9701e+06,1.0421e+05,0
5.9951e+06,1.0464e+05,0
6.0201e+06,1.0508e+05,0
6.0451e+06,1.0552e+05,0
6.0701e+06,1.0595e+05,0
6.0951e+06,1.0639e+05,0
6.1201e+06,1.0683e+05,0
6.1451e+06,1.0726e+05,0
6.1701e+06,1.077e+05,0
6.1951e+06,1.0814e+05,0
6.2201e+06,1.0857e+05,0
6.245e+06,1.0901e+05,0
6.27e+06,1.0944e+05,0
6.295e+06,1.0988e+05,0
6.32e+06,1.1032e+05,0
6.345e+06,1.1075e+05,0
6.37e+06,1.1119e+05,0
3.4698e+06,90860,0
3.4948e+06,91515,0
3.5198e+06,92169,0
3.5448e+06,92823,0
3.5698e+06,93478,0
3.5948e+06,94132,0
3.6198e+06,94787,0
3.6448e+06,95441,0
3.6697e+06,96096,0
3.6947e+06,96750,0
3.7197e+06,97404,0
3.7447e+06,98059,0
3.7697e+06,98713,0
3.7947e+06,99368,0
3.8197e+06,1.0002e+05,0
3.8447e+06,1.0068e+05,0
3.8697e+06,1.0133e+05,0
3.8947e+06,1.0199e+05,0
3.9197e+06,1.0264e+05,0
3.9446e+06,1.0329e+05,0
3.9696e+06,1.0395e+05,0
3.9946e+06,1.046e+05,0
4.0196e+06,1.0526e+05,0
4.0446e+06,1.0591e+05,0
4.0696e+06,1.0657e+05,0
4.0946e+06,1.0722e+05,0
4.1196e+06,1.0788e+05,0
4.1446e+06,1.0853e+05,0
4.1696e+06,1.0918e+05,0
4.1946e+06,1.0984e+05,0
4.2196e+06,1.1049e+05,0
4.2445e+06,1.1115e+05,0
4.2695e+06,1.118e+05,0
4.2945e+06,1.1246e+05,0
4.3195e+06,1.1311e+05,0
