#Normals:0,Normals:1,Normals:2,x,y,z
0.94416,-0.32879,-0.02137,5.8264e+06,-2.029e+06,-1.3187e+05
0.94378,-0.32866,-0.035611,5.8240e+06,-2.0281e+06,-2.1976e+05
0.9432,-0.32846,-0.049846,5.8205e+06,-2.0269e+06,-3.076e+05
0.94244,-0.32819,-0.06407,5.8158e+06,-2.0253e+06,-3.9538e+05
0.94148,-0.32786,-0.078282,5.8099e+06,-2.0232e+06,-4.8308e+05
0.94033,-0.32746,-0.092477,5.8028e+06,-2.0207e+06,-5.7068e+05
0.93899,-0.32699,-0.10665,5.7945e+06,-2.0179e+06,-6.5816e+05
0.93746,-0.32646,-0.12081,5.7851e+06,-2.0146e+06,-7.4551e+05
0.93574,-0.32586,-0.13494,5.7744e+06,-2.0109e+06,-8.3271e+05
0.93383,-0.32519,-0.14904,5.7627e+06,-2.0068e+06,-9.1974e+05
0.93173,-0.32446,-0.16312,5.7497e+06,-2.0023e+06,-1.0066e+06
0.92944,-0.32366,-0.17715,5.7356e+06,-1.9973e+06,-1.0932e+06
0.92696,-0.3228,-0.19116,5.7203e+06,-1.992e+06,-1.1796e+06
0.9243,-0.32187,-0.20512,5.7038e+06,-1.9863e+06,-1.2658e+06
0.92144,-0.32088,-0.21905,5.6862e+06,-1.9801e+06,-1.3517e+06
0.9184,-0.31982,-0.23293,5.6675e+06,-1.9736e+06,-1.4374e+06
0.91517,-0.3187,-0.24676,5.6475e+06,-1.9667e+06,-1.5227e+06
0.91176,-0.31751,-0.26054,5.6265e+06,-1.9593e+06,-1.6078e+06
0.90816,-0.31626,-0.27427,5.6043e+06,-1.9516e+06,-1.6925e+06
0.90438,-0.31494,-0.28794,5.5809e+06,-1.9435e+06,-1.7769e+06
0.90041,-0.31356,-0.30155,5.5565e+06,-1.935e+06,-1.8609e+06
0.89627,-0.31211,-0.31511,5.5309e+06,-1.926e+06,-1.9445e+06
0.89194,-0.3106,-0.3286,5.5041e+06,-1.9167e+06,-2.0278e+06
0.88742,-0.30903,-0.34202,5.4763e+06,-1.907e+06,-2.1106e+06
0.89165,-0.29661,0.34202,5.5024e+06,-1.8304e+06,2.1106e+06
0.89618,-0.29812,0.3286,5.5304e+06,-1.8397e+06,2.0278e+06
0.90054,-0.29957,0.31511,5.5572e+06,-1.8486e+06,1.9445e+06
0.9047,-0.30096,0.30155,5.5829e+06,-1.8572e+06,1.8609e+06
0.90869,-0.30228,0.28794,5.6075e+06,-1.8654e+06,1.7769e+06
0.91249,-0.30354,0.27427,5.631e+06,-1.8732e+06,1.6925e+06
0.91611,-0.30475,0.26054,5.6533e+06,-1.8806e+06,1.6078e+06
0.91953,-0.30589,0.24676,5.6744e+06,-1.8876e+06,1.5227e+06
0.92278,-0.30697,0.23293,5.6945e+06,-1.8943e+06,1.4374e+06
0.92583,-0.30798,0.21905,5.7133e+06,-1.9006e+06,1.3517e+06
0.9287,-0.30894,0.20512,5.731e+06,-1.9065e+06,1.2658e+06
0.93138,-0.30983,0.19116,5.7475e+06,-1.9119e+06,1.1796e+06
0.93387,-0.31066,0.17715,5.7629e+06,-1.9171e+06,1.0932e+06
0.93617,-0.31142,0.16312,5.7771e+06,-1.9218e+06,1.0066e+06
0.93828,-0.31212,0.14904,5.7901e+06,-1.9261e+06,9.1974e+05
0.9402,-0.31276,0.13494,5.802e+06,-1.9301e+06,8.3271e+05
0.94193,-0.31334,0.12081,5.8126e+06,-1.9336e+06,7.4551e+05
0.94346,-0.31385,0.10665,5.8221e+06,-1.9368e+06,6.5816e+05
0.94481,-0.3143,0.092477,5.8304e+06,-1.9395e+06,5.7068e+05
0.94596,-0.31468,0.078282,5.8375e+06,-1.9419e+06,4.8308e+05
0.94693,-0.315,0.06407,5.8435e+06,-1.9439e+06,3.9538e+05
0.9477,-0.31526,0.049846,5.8482e+06,-1.9454e+06,3.076e+05
0.94827,-0.31545,0.035611,5.8518e+06,-1.9466e+06,2.1976e+05
0.94866,-0.31558,0.02137,5.8542e+06,-1.9474e+06,1.3187e+05
0.94885,-0.31564,0.0071237,5.8554e+06,-1.9478e+06,43961
0.94885,-0.31564,-0.0071237,5.8554e+06,-1.9478e+06,-43961
0.94866,-0.31558,-0.02137,5.8542e+06,-1.9474e+06,-1.3187e+05
0.94827,-0.31545,-0.035611,5.8518e+06,-1.9466e+06,-2.1976e+05
0.9477,-0.31526,-0.049846,5.8482e+06,-1.9454e+06,-3.076e+05
0.94693,-0.315,-0.06407,5.8435e+06,-1.9439e+06,-3.9538e+05
0.94596,-0.31468,-0.078282,5.8375e+06,-1.9419e+06,-4.8308e+05
0.94481,-0.3143,-0.092477,5.8304e+06,-1.9395e+06,-5.7068e+05
0.94346,-0.31385,-0.10665,5.8221e+06,-1.9368e+06,-6.5816e+05
0.94193,-0.31334,-0.12081,5.8126e+06,-1.9336e+06,-7.4551e+05
0.9402,-0.31276,-0.13494,5.802e+06,-1.9301e+06,-8.3271e+05
0.93828,-0.31212,-0.14904,5.7901e+06,-1.9261e+06,-9.1974e+05
0.93617,-0.31142,-0.16312,5.7771e+06,-1.9218e+06,-1.0066e+06
0.93387,-0.31066,-0.17715,5.7629e+06,-1.9171e+06,-1.0932e+06
0.93138,-0.30983,-0.19116,5.7475e+06,-1.9119e+06,-1.1796e+06
0.9287,-0.30894,-0.20512,5.731e+06,-1.9065e+06,-1.2658e+06
0.92583,-0.30798,-0.21905,5.7133e+06,-1.9006e+06,-1.3517e+06
0.92278,-0.30697,-0.23293,5.6945e+06,-1.8943e+06,-1.4374e+06
